gemid,GSB88_pop,GSB88_pop_8,GSB88_pop_10,GSB94_pop,GSB94_pop_8,GSB94_pop_10,GSB98_pop,GSB98_pop_8,GSB98_pop_10,GSB05_pop,GSB05_pop_8,GSB05_pop_10,GSB09_pop,GSB09_pop_8,GSB09_pop_10,GSB17_pop,GSB17_pop_8,GSB17_pop_10,GSB88_kant,GSB94_kant,GSB98_kant,GSB05_kant,GSB09_kant,GSB17_kant,GSB88_spr,GSB94_spr,GSB98_spr,GSB05_spr,GSB09_spr,GSB17_spr,GSB23_bez,GSB23_kant,GSB23_pop,GSB23_spr,GSB23_bezname,GSB23_Q52,GSB17_Q58,GSB23_Q9,GSB17_Q7,GSB23_Q7,GSB17_Q6
34,1318,4,4, , , ,1333,4,4,1469,4,4,1512,4,4,1650,4,4,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1781.0,1.0,Andelfingen,2.0,2,99.0,1,1.0,1
35,1586,4,4,1720,4,4, , , ,1817,4,4,1883,4,4,1938,4,4,1,1,1,1,1,1,1,1, ,1,1,1,102.0,1.0,1950.0,1.0,Andelfingen,2.0, ,5.0,2,2.0,1
36,1045,4,4, , , ,1045,4,4,1092,4,4,1077,4,4,1191,4,4,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,2,,1
37,1143,4,4,1200,4,4,1194,4,4,1304,4,4,1364,4,4,1455,4,4,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1710.0,1.0,Andelfingen,2.0,1,99.0,1,2.0,1
38,1769,4,4,1250,4,4,1279,4,4,1325,4,4,1320,4,4,1302,4,4,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1285.0,1.0,Andelfingen,2.0,1,2.0,1,2.0,1
39,511,3,3,576,3,3,618,3,3,708,3,3,799,3,3,911,3,3,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,977.0,1.0,Andelfingen,2.0, ,2.0,1,2.0,2
40,975,3,3,1028,4,4,1000,4,4,969,3,3,1007,4,4,1064,4,4,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,1066.0,1.0,Andelfingen,2.0,4,2.0,2,2.0,1
41,338,2,2,420,2,2,416,2,2,462,2,2,460,2,2,469,2,2,1,1,1,1,1,1,1,1,1,1,1,1,102.0,1.0,465.0,1.0,Andelfingen,0.0, ,0.0, ,0.0, 
42,805,3,3,920,3,3,900,3,3,878,3,3,893,3,3,899,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,9,,5,,5
43,213,1,1,250,2,2, , , ,295,2,2,296,2,2,341,2,2,1,1,1,1,1,1,1,1, ,1,1,1,102.0,1.0,381.0,1.0,Andelfingen,2.0,4,2.0,5,2.0,1
44,526,3,3,600,3,3,638,3,3,685,3,3,666,3,3,657,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,, ,, ,, 
51,2887,5,5, , , ,3047,5,5,3394,5,5,3796,5,5,4085,5,5,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,4208.0,1.0,Bülach,2.0, ,2.0, ,2.0, 
52,6823,6,6,6775,6,6,6987,6,6,9111,6,6,10755,7,7,11611,7,7,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,12062.0,1.0,Bülach,2.0, ,3.0,1,2.0,1
53,13472,7,7,13788,7,7,13686,7,7,14276,7,7,16774,7,7,19605,7,7,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,23624.0,1.0,Bülach,2.0,1,2.0,5,2.0,3
54,5885,6,6, , , , , , ,6638,6,6,7030,6,6,7567,6,6,1,1,1,1,1,1,1,1, ,1,1,1,103.0,1.0,7855.0,1.0,Bülach,2.0,3015,-99.0,1,2.0,3
55,2659,5,5,2589,5,5,2703,5,5,3345,5,5,3684,5,5,5167,6,6,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,5520.0,1.0,Bülach,2.0, ,2.0,2,2.0,5
56,7194,6,6,7000,6,6,7016,6,6,8165,6,6,8686,6,6,9185,6,6,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,10005.0,1.0,Bülach,2.0, ,2.0,3,2.0,1
57,1818,4,4, , , , , , ,2228,5,5,2249,5,5,2341,5,5,1,1,1,1,1,1,1,1, ,1,1,1,103.0,1.0,2394.0,1.0,Bülach,2.0, ,2.0,1,2.0,1
58,3294,5,5,3274,5,5,3341,5,5,3872,5,5,4122,5,5,5064,6,6,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,5258.0,1.0,Bülach,2.0,3,3.0,2,2.0,1
59,1103,4,4,1176,4,4,1465,4,4,1689,4,4,1876,4,4,1962,4,4,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,1989.0,1.0,Bülach,2.0,4,2.0,1,2.0,1
60,1864,4,4, , , ,2115,5,5,2487,5,5,2460,5,5,2705,5,5,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,3307.0,1.0,Bülach,2.0, ,2.0, ,2.0, 
61,687,3,3,700,3,3,756,3,3,870,3,3,971,3,3,1025,4,4,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,1093.0,1.0,Bülach,2.0, ,4.0, ,3.0, 
62,16148,7,7, , , ,16256,7,7,17086,7,7,17504,7,7,19084,7,7,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,20980.0,1.0,Bülach,2.0,1,4.0,1,1.0,2
63,952,3,3, , , , , , ,1423,4,4,1610,4,4,2210,5,5,1,1,1,1,1,1,1,1, ,1,1,1,103.0,1.0,2767.0,1.0,Bülach,2.0,1,2.0,2,2.0,2
64,3946,5,5,4038,5,5,4288,5,5,4767,5,5,4953,5,5,5600,6,6,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,5710.0,1.0,Bülach,2.0, ,3.0,5,2.0,2
65,1001,4,4,980,3,3,970,3,3,955,3,3,987,3,3,1069,4,4,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,1092.0,1.0,Bülach,2.0, ,2.0, ,2.0, 
66,11872,7,7,12183,7,7,11102,7,7,12751,7,7,14675,7,7,19581,7,7,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,21213.0,1.0,Bülach,2.0, ,4.0,1,1.0,2
67,2599,5,5,2833,5,5,3211,5,5,3619,5,5,3961,5,5,4398,5,5,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,4672.0,1.0,Bülach,0.0,7,0.0,1,0.0,2
68,1987,4,4,2092,5,5,2181,5,5,2202,5,5,2249,5,5,2813,5,5,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,2908.0,1.0,Bülach,2.0, ,2.0,1,2.0,1
69,11216,7,7,11000,7,7,11329,7,7,12372,7,7,12817,7,7,15932,7,7,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,17299.0,1.0,Bülach,2.0, ,4.0, ,1.0, 
70,481,2,2,540,3,3,539,3,3,579,3,3,557,3,3,562,3,3,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,589.0,1.0,Bülach,0.0, ,0.0, ,0.0, 
71,1119,4,4, , , ,1297,4,4,1289,4,4,1275,4,4,1372,4,4,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,1564.0,1.0,Bülach,0.0, ,0.0, ,0.0, 
72,2313,5,5, , , ,3072,5,5,3614,5,5,3880,5,5,4391,5,5,1,1,1,1,1,1,1,1,1,1,1,1,103.0,1.0,4858.0,1.0,Bülach,2.0, ,4.0, ,1.0, 
81,591,3,3,620,3,3,574,3,3,570,3,3,566,3,3,605,3,3,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,636.0,1.0,Dielsdorf,0.0,1,0.0,1,0.0,1
82,829,3,3,834,3,3,892,3,3,1181,4,4,1282,4,4,1327,4,4,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,1454.0,1.0,Dielsdorf,0.0,3,0.0,1,0.0,2
83,3516,5,5,3859,5,5,4000,5,5,4682,5,5,5243,6,6,6358,6,6,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,6628.0,1.0,Dielsdorf,2.0,4,2.0,5,2.0,1
84,2551,5,5,2700,5,5,2990,5,5,3413,5,5,3596,5,5,4080,5,5,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,4271.0,1.0,Dielsdorf,2.0, ,2.0, ,2.0, 
85,1182,4,4,1389,4,4,1739,4,4,1762,4,4,1841,4,4,1885,4,4,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,1865.0,1.0,Dielsdorf,0.0,3,0.0,1,0.0,1
86,4616,5,5, , , ,4476,5,5,4826,5,5,5409,6,6,5990,6,6,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,6151.0,1.0,Dielsdorf,2.0, ,2.0,3,2.0,5
87,410,2,2,430,2,2, , , ,534,3,3,675,3,3,921,3,3,1,1,1,1,1,1,1,1, ,1,1,1,104.0,1.0,959.0,1.0,Dielsdorf,0.0,1,0.0,1,0.0,1
88,1731,4,4,1928,4,4, , , ,2628,5,5,2908,5,5,3128,5,5,1,1,1,1,1,1,1,1, ,1,1,1,104.0,1.0,3314.0,1.0,Dielsdorf,2.0,1,2.0,1,1.0,3
89,3362,5,5,3345,5,5,3449,5,5,4035,5,5,4467,5,5,4913,5,5,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,5180.0,1.0,Dielsdorf,0.0, ,0.0, ,0.0, 
90,5834,6,6,6020,6,6,6794,6,6,7733,6,6,8294,6,6,9195,6,6,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,9497.0,1.0,Dielsdorf,2.0, ,2.0,1,2.0,2
91,1588,4,4, , , ,1843,4,4,2422,5,5,2652,5,5,2930,5,5,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,3082.0,1.0,Dielsdorf,2.0,2,2.0,1,2.0,2
92,4337,5,5,4600,5,5,4672,5,5,5292,6,6,5518,6,6,6974,6,6,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,7520.0,1.0,Dielsdorf,2.0, ,99.0,3,2.0,3
93,1149,4,4, , , ,1323,4,4,1448,4,4,1611,4,4,1786,4,4,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,1883.0,1.0,Dielsdorf,2.0,2,2.0,1,2.0,5
94,1580,4,4,1600,4,4,1706,4,4,2200,5,5,2278,5,5,2835,5,5,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,2946.0,1.0,Dielsdorf,1.0,1,3.0,1,2.0,1
95,581,3,3,499,2,2,477,2,2,442,2,2,458,2,2,471,2,2,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,464.0,1.0,Dielsdorf,0.0,2,0.0,5,0.0,5
96,13673,7,7,13441,7,7,13545,7,7,15386,7,7,16040,7,7,18189,7,7,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,18739.0,1.0,Dielsdorf,2.0, ,2.0,2,2.0,2
97,5211,6,6,4000,5,5,5202,6,6,5893,6,6,6333,6,6,8024,6,6,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,8186.0,1.0,Dielsdorf,2.0, ,3.0,2,2.0,3
98,542,3,3,570,3,3,646,3,3,687,3,3,701,3,3,725,3,3,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,863.0,1.0,Dielsdorf,2.0,2,2.0,2,2.0,5
99,1064,4,4,1075,4,4,1082,4,4,1174,4,4,1259,4,4,1394,4,4,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,1361.0,1.0,Dielsdorf,2.0,1,99.0,1,99.0,5
100,1421,4,4,1500,4,4,1558,4,4,1780,4,4,1922,4,4,2227,5,5,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,2349.0,1.0,Dielsdorf,0.0,6,4.0,1,2.0,1
101,2552,5,5, , , , , , ,2942,5,5,3151,5,5,3463,5,5,1,1,1,1,1,1,1,1, ,1,1,1,104.0,1.0,3613.0,1.0,Dielsdorf,2.0,1,4.0,1,2.0,1
102,719,3,3,800,3,3,930,3,3,987,3,3,982,3,3,1482,4,4,1,1,1,1,1,1,1,1,1,1,1,1,104.0,1.0,2077.0,1.0,Dielsdorf,2.0, ,2.0, ,2.0, 
111,3782,5,5,3896,5,5,4029,5,5,4442,5,5,4471,5,5,5059,6,6,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,5098.0,1.0,Hinwil,2.0, ,-99.0,3,2.0,3
112,4666,5,5, , , , , , ,5687,6,6,6299,6,6,7113,6,6,1,1,1,1,1,1,1,1, ,1,1,1,105.0,1.0,7496.0,1.0,Hinwil,2.0,5800,2.0,1,2.0,2
113,5564,6,6,5900,6,6,5903,6,6,6127,6,6,6421,6,6,7529,6,6,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,7779.0,1.0,Hinwil,2.0, ,2.0,2,2.0,2
114,1775,4,4, , , , , , ,1967,4,4,2222,5,5,2479,5,5,1,1,1,1,1,1,1,1, ,1,1,1,105.0,1.0,2606.0,1.0,Hinwil,2.0, ,2.0, ,2.0, 
115,7157,6,6, , , ,8171,6,6,9015,6,6,9397,6,6,9823,6,6,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,10336.0,1.0,Hinwil,2.0, ,3.0,1,2.0,1
116,2756,5,5,2650,5,5,2745,5,5,2815,5,5,2883,5,5,3399,5,5,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,3845.0,1.0,Hinwil,2.0, ,3.0,1,2.0,1
117,8379,6,6,8412,6,6,8929,6,6,9680,6,6,9873,6,6,11094,7,7,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,11576.0,1.0,Hinwil,2.0,110,2.0,2,2.0,2
118,10513,7,7, , , ,10827,7,7,11376,7,7,11678,7,7,12086,7,7,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,12701.0,1.0,Hinwil,2.0, ,2.0,2,2.0,2
119,1103,4,4, , , , , , ,1235,4,4,1269,4,4,1443,4,4,1,1,1,1,1,1,1,1, ,1,1,1,105.0,1.0,1422.0,1.0,Hinwil,2.0,7,2.0,1,2.0,1
120,8218,6,6,8712,6,6,8303,6,6,8782,6,6,8956,6,6,9646,6,6,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,10343.0,1.0,Hinwil,2.0,1,2.0,2,2.0,3
121,16696,7,7,17100,7,7,17281,7,7,19102,7,7,21276,8,8,24638,8,8,1,1,1,1,1,1,1,1,1,1,1,1,105.0,1.0,26018.0,1.0,Hinwil,2.0, ,99.0,2,2.0,2
131,15776,7,7,15900,7,7,15341,7,7,15791,7,7,16052,7,7,18734,7,7,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,19243.0,1.0,Horgen,2.0,36,4.0,2,3.0,1
132,1761,4,4, , , , , , ,1937,4,4,2036,5,5,2183,5,5,1,1,1,1,1,1,1,1, ,1,1,1,,,,,,,8,,3,,4
133,16463,7,7,17800,7,7,16465,7,7,17872,7,7,18431,7,7,20287,8,8,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,, ,,2,,3
134,726,3,3, , , , , , ,880,3,3,904,3,3,900,3,3,1,1,1,1,1,1,1,1, ,1,1,1,,,,,,, ,, ,, 
135,7081,6,6,6961,6,6,7066,6,6,7109,6,6,7427,6,6,8379,6,6,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,9303.0,1.0,Horgen,2.0, ,4.0, ,1.0, 
136,6528,6,6, , , ,6517,6,6,6634,6,6,7148,6,6,7500,6,6,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,8056.0,1.0,Horgen,2.0, ,4.0,3,2.0,3
137,4385,5,5,4348,5,5,4408,5,5,4811,5,5,4932,5,5,5034,6,6,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,5289.0,1.0,Horgen,0.0, ,0.0,2,0.0,2
138,9882,6,6,9934,6,6,9911,6,6,11156,7,7,11920,7,7,13351,7,7,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,13987.0,1.0,Horgen,2.0, ,3.0,1,2.0,1
