gemid,GSB88_pop,GSB88_pop_8,GSB88_pop_10,GSB94_pop,GSB94_pop_8,GSB94_pop_10,GSB98_pop,GSB98_pop_8,GSB98_pop_10,GSB05_pop,GSB05_pop_8,GSB05_pop_10,GSB09_pop,GSB09_pop_8,GSB09_pop_10,GSB17_pop,GSB17_pop_8,GSB17_pop_10,GSB88_kant,GSB94_kant,GSB98_kant,GSB05_kant,GSB09_kant,GSB17_kant,GSB88_spr,GSB94_spr,GSB98_spr,GSB05_spr,GSB09_spr,GSB17_spr,GSB23_bez,GSB23_kant,GSB23_pop,GSB23_spr,GSB23_bezname,GSB23_Q52,GSB17_Q58,GSB23_Q9,GSB17_Q7,GSB23_Q7,GSB17_Q6
1092,980,3,3,1042,4,4,1054,4,4,1055,4,4,1143,4,4, , , ,3,3,3,3,3, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1093,4507,5,5,4750,5,5,5208,6,6,5726,6,6,5927,6,6,6957,6,6,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,7183.0,1.0,Sursee,0.0, ,0.0, ,0.0, 
1094,2078,5,5,3232,5,5,2446,5,5,2780,5,5,3225,5,5,3728,5,5,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,4091.0,1.0,Sursee,2.0,3,99.0,1,2.0,1
1095,2311,5,5,2420,5,5,2511,5,5,2971,5,5,3422,5,5,4636,5,5,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,5068.0,1.0,Sursee,2.0,2,5.0,2,1.0,1
1096,674,3,3,720,3,3,739,3,3,711,3,3,721,3,3, , , ,3,3,3,3,3, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1097,1593,4,4, , , , , , ,2017,5,5,2221,5,5,3248,5,5,3,3,3,3,3,3,1,1, ,1,1,1,314.0,3.0,3564.0,1.0,Sursee,0.0, ,0.0, ,0.0, 
1098,5546,6,6,5931,6,6,6232,6,6,6387,6,6,6460,6,6,6906,6,6,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,7305.0,1.0,Sursee,2.0,3,2.0,2,2.0,1
1099,1667,4,4,1800,4,4, , , ,2411,5,5,2552,5,5,2816,5,5,3,3,3,3,3,3,1,1, ,1,1,1,314.0,3.0,3076.0,1.0,Sursee,2.0,8,4.0,2,1.0,1
1100,536,3,3, , , ,587,3,3,594,3,3,649,3,3,840,3,3,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,986.0,1.0,Sursee,1.0,3,99.0,1,2.0,1
1101,208,1,1,220,1,1,231,1,1, , , , , , , , , ,3,3,3, , , ,1,1,1,1, , ,,,,,,, ,, ,, 
1102,3096,5,5,3200,5,5,3288,5,5,3694,5,5,3879,5,5,4106,5,5,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,4131.0,1.0,Sursee,2.0,2,99.0,1,1.0,2
1103,8143,6,6, , , ,8031,6,6,8084,6,6,8690,6,6,9620,6,6,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,10519.0,1.0,Sursee,2.0,3550,2.0,2,1.0,2
1104,2588,5,5, , , ,2801,5,5,2963,5,5,4321,5,5,4587,5,5,3,3,3,3,3,3,1,1,1,1,1,1,314.0,3.0,4748.0,1.0,Sursee,2.0,2,2.0,1,2.0,1
1105,217,1,1, , , ,250,2,2,236,1,1, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1106,697,3,3, , , , , , ,740,3,3, , , , , , ,3,3,3,3, , ,1,1, ,1, , ,,,,,,, ,, ,, 
1107,3818,5,5,3953,5,5,3954,5,5,4060,5,5,4145,5,5,4299,5,5,3,3,3,3,3,3,1,1,1,1,1,1,316.0,3.0,4446.0,1.0,Entlebuch,2.0,2,2.0,1,2.0,1
1121,419,2,2,450,2,2,504,3,3,562,3,3,573,3,3,648,3,3,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,683.0,1.0,Willisau,0.0,2,0.0,1,0.0,2
1122,703,3,3,800,3,3,855,3,3,894,3,3,904,3,3,1013,4,4,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,1029.0,1.0,Willisau,2.0,1,5.0,1,2.0,1
1123,1098,4,4, , , ,1239,4,4,1340,4,4,1327,4,4,1548,4,4,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,2006.0,1.0,Willisau,2.0,2,2.0,2,2.0,4
1124,330,2,2,340,2,2,374,2,2,386,2,2, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1125,3028,5,5,3200,5,5,3252,5,5,3287,5,5,4848,5,5,5285,6,6,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,5807.0,1.0,Willisau,2.0,2,2.0,1,2.0,1
1126,386,2,2, , , ,413,2,2,413,2,2,425,2,2,395,2,2,3,3,3,3,3,3,1,1,1,1,1,1,,,,,,,8,,3,,5
1127,847,3,3, , , ,1201,4,4,1256,4,4,1279,4,4,1439,4,4,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,1624.0,1.0,Willisau,0.0,4,0.0,3,0.0,3
1128,1509,4,4,1675,4,4,1740,4,4,1785,4,4,2274,5,5,2717,5,5,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,2853.0,1.0,Willisau,2.0,9,3.0,1,2.0,1
1129,631,3,3,700,3,3,693,3,3,697,3,3,716,3,3,699,3,3,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,702.0,1.0,Willisau,2.0, ,2.0,1,2.0,1
1130,973,3,3,1030,4,4,994,3,3,978,3,3,987,3,3,1120,4,4,3,3,3,3,3,3,1,1,1,1,1,1,,,,,,,1,,1,,1
1131,811,3,3, , , ,899,3,3,822,3,3,839,3,3,838,3,3,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,876.0,1.0,Willisau,2.0, ,99.0,1,2.0,1
1132,1728,4,4,1856,4,4,1901,4,4,1816,4,4,1799,4,4,1890,4,4,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,1910.0,1.0,Willisau,2.0,4,2.0,2,2.0,1
1133,304,2,2,380,2,2,413,2,2,399,2,2, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1134,1127,4,4,1170,4,4,1211,4,4,1199,4,4, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1135,1466,4,4,1580,4,4,1608,4,4,1461,4,4,1369,4,4,1281,4,4,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,1248.0,1.0,Willisau,0.0,1,0.0,1,0.0,1
1136,2558,5,5,2750,5,5,2828,5,5,2735,5,5,2771,5,5,2897,5,5,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,3056.0,1.0,Willisau,1.0,1,99.0,1,2.0,1
1137,1974,4,4,2142,5,5,2152,5,5,2198,5,5,2273,5,5,2599,5,5,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,2766.0,1.0,Willisau,2.0, ,2.0,1,2.0,1
1138,287,2,2, , , ,328,2,2,317,2,2,318,2,2, , , ,3,3,3,3,3, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1139,2601,5,5, , , , , , ,2099,5,5,2122,5,5,2653,5,5,3,3,3,3,3,3,1,1, ,1,1,1,315.0,3.0,2714.0,1.0,Willisau,2.0, ,-99.0, ,2.0, 
1140,3770,5,5, , , ,3963,5,5,3980,5,5,6336,6,6,7008,6,6,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,7415.0,1.0,Willisau,2.0, ,99.0,5,2.0,3
1141,613,3,3, , , ,683,3,3,708,3,3, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1142,553,3,3,615,3,3,656,3,3,656,3,3,640,3,3,682,3,3,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,768.0,1.0,Willisau,-99.0, ,-99.0,1,-99.0,1
1143,2613,5,5,2850,5,5,2909,5,5,3223,5,5,3372,5,5,4271,5,5,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,4786.0,1.0,Willisau,1.0,1,99.0,1,2.0,1
1144,577,3,3,630,3,3,671,3,3,680,3,3, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1145,774,3,3, , , , , , ,841,3,3,853,3,3,891,3,3,3,3,3,3,3,3,1,1, ,1,1,1,315.0,3.0,934.0,1.0,Willisau,2.0,1,99.0,1,99.0,1
1146,1645,4,4,1700,4,4,1642,4,4,1657,4,4,1695,4,4,2130,5,5,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,2558.0,1.0,Willisau,1.0,9,5.0,1,2.0,1
1147,1387,4,4,1405,4,4,1378,4,4,1299,4,4,1349,4,4,1505,4,4,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,1486.0,1.0,Willisau,2.0,3,2.0,3,2.0,5
1148,3788,5,5,3860,5,5,4044,5,5,4043,5,5, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1149,2866,5,5,2900,5,5,3005,5,5,3087,5,5, , , , , , ,3,3,3,3, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1150,1795,4,4, , , ,1987,4,4,1968,4,4,1924,4,4,2025,5,5,3,3,3,3,3,3,1,1,1,1,1,1,315.0,3.0,2119.0,1.0,Willisau,2.0,8,3.0,3,2.0,3
1151, , , , , , , , , , , , ,7206,6,6,7777,6,6, , , , ,3,3, , , , ,1,1,315.0,3.0,9108.0,1.0,Willisau,1.0,2,2.0,1,2.0,2
1201,8282,6,6, , , ,8613,6,6,8612,6,6,8623,6,6,9211,6,6,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,9880.0,1.0,Kt. Uri,2.0,50,3.0,2,1.0,1
1202,1319,4,4,1505,4,4,1387,4,4,1271,4,4,1242,4,4,1355,4,4,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,1538.0,1.0,Kt. Uri,2.0,11,99.0,1,1.0,1
1203,1368,4,4,1450,4,4,1491,4,4,1529,4,4,1591,4,4,1650,4,4,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,1765.0,1.0,Kt. Uri,2.0, ,3.0,2,2.0,2
1204,204,1,1,221,1,1,227,1,1,195,1,1,186,1,1,164,1,1,4,4,4,4,4,4,1,1,1,1,1,1,,,,,,, ,,5,,1
1205,3580,5,5,3840,5,5,3812,5,5,3974,5,5,3920,5,5,4021,5,5,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,3877.0,1.0,Kt. Uri,2.0, ,3.0,1,2.0,2
1206,4182,5,5, , , ,4166,5,5,3799,5,5,3764,5,5,3764,5,5,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,3866.0,1.0,Kt. Uri,-99.0, ,3.0, ,2.0, 
1207,1695,4,4, , , , , , ,1848,4,4,1936,4,4,2002,5,5,4,4,4,4,4,4,1,1, ,1,1,1,400.0,4.0,2020.0,1.0,Kt. Uri,2.0, ,3.0,1,1.0,1
1208,585,3,3, , , ,616,3,3,468,2,2,436,2,2,449,2,2,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,445.0,1.0,Kt. Uri,2.0,1,2.0,3,2.0,3
1209,688,3,3,750,3,3,699,3,3,640,3,3,649,3,3,563,3,3,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,496.0,1.0,Kt. Uri,2.0,3,3.0,1,2.0,1
1210,202,1,1, , , ,232,1,1,220,1,1,189,1,1,188,1,1,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,179.0,1.0,Kt. Uri,0.0,1,0.0,3,0.0,1
1211,505,3,3,560,3,3,575,3,3,554,3,3,539,3,3,503,3,3,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,467.0,1.0,Kt. Uri,2.0,4,99.0,2,2.0,5
1212,181,1,1, , , ,198,1,1,155,1,1,153,1,1,145,1,1,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,153.0,1.0,Kt. Uri,0.0,3,0.0,1,0.0,2
1213,4802,5,5,5000,6,6,5049,6,6,4845,5,5,4907,5,5,5247,6,6,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,5453.0,1.0,Kt. Uri,0.0, ,0.0,3,0.0,4
1214,1518,4,4,1520,4,4,1483,4,4,1582,4,4,1680,4,4,1794,4,4,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,2051.0,1.0,Kt. Uri,2.0, ,3.0,5,2.0,1
1215,569,3,3,600,3,3,613,3,3,627,3,3,648,3,3,683,3,3,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,715.0,1.0,Kt. Uri,2.0,2,2.0,5,2.0,5
1216,2054,5,5,2119,5,5,2136,5,5,2235,5,5,2251,5,5,2045,5,5,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,2041.0,1.0,Kt. Uri,2.0, ,2.0,1,2.0,1
1217,319,2,2,350,2,2,393,2,2,388,2,2,369,2,2,373,2,2,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,382.0,1.0,Kt. Uri,2.0, ,2.0, ,2.0, 
1218,921,3,3, , , ,1028,4,4,944,3,3,903,3,3,834,3,3,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,858.0,1.0,Kt. Uri,2.0,3,99.0,1,2.0,2
1219,689,3,3, , , ,782,3,3,746,3,3,729,3,3,710,3,3,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,715.0,1.0,Kt. Uri,2.0,3,99.0,5,99.0,1
1220,545,3,3,600,3,3,543,3,3,451,2,2,447,2,2,441,2,2,4,4,4,4,4,4,1,1,1,1,1,1,400.0,4.0,416.0,1.0,Kt. Uri,2.0,3,99.0,1,2.0,1
1301,10869,7,7,10874,7,7,11995,7,7,13067,7,7,14022,7,7,15356,7,7,5,5,5,5,5,5,1,1,1,1,1,1,501.0,5.0,16310.0,1.0,Einsiedeln,-99.0,100,-99.0,2,-99.0,2
1311,1795,4,4, , , , , , ,1941,4,4,2027,5,5,2258,5,5,5,5,5,5,5,5,1,1, ,1,1,1,502.0,5.0,2384.0,1.0,Gersau,2.0,6,4.0,1,3.0,1
1321,3157,5,5, , , ,3461,5,5,4146,5,5,4650,5,5,5235,6,6,5,5,5,5,5,5,1,1,1,1,1,1,503.0,5.0,5468.0,1.0,Höfe,2.0, ,99.0,1,1.0,1
1322,11186,7,7,11850,7,7,12421,7,7,14328,7,7,15681,7,7,16189,7,7,5,5,5,5,5,5,1,1,1,1,1,1,503.0,5.0,16711.0,1.0,Höfe,1.0, ,4.0,1,1.0,1
1323,4952,5,5, , , ,5879,6,6,6920,6,6,6969,6,6,7101,6,6,5,5,5,5,5,5,1,1,1,1,1,1,503.0,5.0,7495.0,1.0,Höfe,0.0,2,0.0,1,0.0,3
1331,9461,6,6,10116,7,7,10593,7,7,11585,7,7,11987,7,7,12512,7,7,5,5,5,5,5,5,1,1,1,1,1,1,504.0,5.0,13843.0,1.0,Küssnacht (SZ),-99.0, ,4.0,1,3.0,1
1341,3712,5,5,4170,5,5,4372,5,5,5190,6,6,5904,6,6,6906,6,6,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,7215.0,1.0,March,2.0, ,4.0,2,1.0,2
1342,3468,5,5,3800,5,5,3985,5,5,4178,5,5,4525,5,5,5198,6,6,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,5342.0,1.0,March,2.0, ,4.0,2,3.0,3
1343,151,1,1,177,1,1,180,1,1,175,1,1,193,1,1,193,1,1,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,180.0,1.0,March,2.0, ,1.0,1,2.0,1
1344,5912,6,6,6150,6,6,6120,6,6,6584,6,6,7469,6,6,8596,6,6,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,9394.0,1.0,March,2.0,2000,2.0,1,3.0,1
1345,2104,5,5,2300,5,5,2651,5,5,2833,5,5,2906,5,5,3566,5,5,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,4063.0,1.0,March,2.0, ,2.0,3,2.0,2
1346,6276,6,6, , , ,6987,6,6,7608,6,6,8184,6,6,9073,6,6,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,9595.0,1.0,March,2.0, ,2.0,3,2.0,3
1347,2182,5,5,2337,5,5,2458,5,5,2689,5,5,2864,5,5,3239,5,5,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,3358.0,1.0,March,2.0, ,4.0,2,2.0,3
1348,926,3,3,1023,4,4,1036,4,4,1012,4,4,1009,4,4,1016,4,4,5,5,5,5,5,5,1,1,1,1,1,1,505.0,5.0,983.0,1.0,March,2.0,11,2.0,1,2.0,1
1349,3365,5,5,3800,5,5, , , ,4624,5,5,4570,5,5,4989,5,5,5,5,5,5,5,5,1,1, ,1,1,1,505.0,5.0,5489.0,1.0,March,0.0, ,0.0,1,0.0,5
1361,365,2,2,416,2,2,411,2,2,505,3,3,515,3,3,612,3,3,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,618.0,1.0,Schwyz,2.0,2,99.0,2,2.0,2
1362,8425,6,6,9000,6,6,9631,6,6,9875,6,6,10480,7,7,11732,7,7,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,12359.0,1.0,Schwyz,2.0, ,4.0, ,2.0, 
1363,633,3,3,690,3,3,740,3,3,769,3,3,793,3,3,794,3,3,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,815.0,1.0,Schwyz,2.0,1,2.0,1,2.0,5
1364,7042,6,6,7100,6,6,7042,6,6,7828,6,6,8280,6,6,8757,6,6,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,9197.0,1.0,Schwyz,0.0, ,0.0,2,-99.0,3
1365,728,3,3,734,3,3,868,3,3,926,3,3,1031,4,4,1067,4,4,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,1124.0,1.0,Schwyz,0.0, ,0.0, ,0.0, 
1366,759,3,3,900,3,3,837,3,3,896,3,3,961,3,3,1107,4,4,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,1206.0,1.0,Schwyz,0.0,230,0.0,2,0.0,2
1367,3130,5,5,3364,5,5,3548,5,5,3561,5,5,3571,5,5,3543,5,5,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,3516.0,1.0,Schwyz,2.0, ,1.0, ,2.0, 
1368,623,3,3,702,3,3,690,3,3,756,3,3,787,3,3,885,3,3,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,867.0,1.0,Schwyz,2.0,1,4.0,5,2.0,1
1369,71,1,1,80,1,1,70,1,1,72,1,1,83,1,1,88,1,1,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,84.0,1.0,Schwyz,2.0,1,1.0,1,2.0,1
1370,1678,4,4,1908,4,4,2033,5,5,2063,5,5,2145,5,5,2375,5,5,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,2519.0,1.0,Schwyz,2.0,1,3.0,3,2.0,2
1371,1213,4,4, , , ,1366,4,4,1506,4,4,1665,4,4,1926,4,4,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,2021.0,1.0,Schwyz,1.0,1,2.0,3,2.0,2
1372,12872,7,7,13481,7,7,13620,7,7,14232,7,7,14183,7,7,14885,7,7,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,15685.0,1.0,Schwyz,2.0, ,3.0,1,2.0,1
1373,2411,5,5, , , ,2719,5,5,2951,5,5,3082,5,5,3358,5,5,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,3696.0,1.0,Schwyz,0.0,670,0.0,3,0.0,3
1374,702,3,3,800,3,3,908,3,3,886,3,3,862,3,3,916,3,3,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,951.0,1.0,Schwyz,2.0,1,99.0,3,2.0,3
1375,1796,4,4,2050,5,5,2220,5,5,2283,5,5,2321,5,5,2364,5,5,5,5,5,5,5,5,1,1,1,1,1,1,506.0,5.0,2432.0,1.0,Schwyz,1.0, ,2.0,2,2.0,5
1401,4215,5,5,4500,5,5,4692,5,5,5156,6,6,5242,6,6,5997,6,6,6,6,6,6,6,6,1,1,1,1,1,1,600.0,6.0,6222.0,1.0,Kt. Obwalden,1.0, ,4.0,2,2.0,4
1402,2958,5,5,3500,5,5,3394,5,5,3493,5,5,3721,5,5,4132,5,5,6,6,6,6,6,6,1,1,1,1,1,1,600.0,6.0,4297.0,1.0,Kt. Obwalden,2.0, ,4.0,2,1.0,1
1403,3085,5,5,3286,5,5,3483,5,5,3420,5,5,3513,5,5,3631,5,5,6,6,6,6,6,6,1,1,1,1,1,1,600.0,6.0,3806.0,1.0,Kt. Obwalden,2.0, ,99.0,3,2.0,3
1404,4691,5,5,5150,6,6,5056,6,6,5236,6,6,5485,6,6,6194,6,6,6,6,6,6,6,6,1,1,1,1,1,1,600.0,6.0,6424.0,1.0,Kt. Obwalden,2.0, ,4.0,2,2.0,1
1405,1859,4,4,1800,4,4,1980,4,4,1956,4,4,2049,5,5,2128,5,5,6,6,6,6,6,6,1,1,1,1,1,1,600.0,6.0,2086.0,1.0,Kt. Obwalden,1.0, ,3.0,1,2.0,1
1406,3819,5,5, , , , , , ,4456,5,5,4597,5,5,5060,6,6,6,6,6,6,6,6,1,1, ,1,1,1,600.0,6.0,5211.0,1.0,Kt. Obwalden,0.0,1,0.0,1,0.0,5
1407,8398,6,6,8700,6,6,9035,6,6,9445,6,6,9822,6,6,10234,7,7,6,6,6,6,6,6,1,1,1,1,1,1,600.0,6.0,10654.0,1.0,Kt. Obwalden,2.0, ,3.0,2,1.0,1
1501,2418,5,5,2673,5,5,2771,5,5,3012,5,5,3231,5,5,3567,5,5,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,3749.0,1.0,Kt. Nidwalden,2.0, ,2.0,1,2.0,1
1502,4295,5,5,4600,5,5,4854,5,5,5324,6,6,5305,6,6,5389,6,6,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,5483.0,1.0,Kt. Nidwalden,2.0, ,3.0,2,2.0,5
1503,1464,4,4,1588,4,4,1727,4,4,1727,4,4,1775,4,4,1832,4,4,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,1847.0,1.0,Kt. Nidwalden,0.0,9,0.0,1,0.0,2
1504,970,3,3,1100,4,4,1173,4,4,1204,4,4,1219,4,4,1384,4,4,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,1624.0,1.0,Kt. Nidwalden,2.0,2,2.0,1,2.0,2
1505,3448,5,5,3700,5,5,3928,5,5,4150,5,5,4268,5,5,4564,5,5,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,5206.0,1.0,Kt. Nidwalden,2.0, ,3.0,1,3.0,1
1506,1729,4,4,1850,4,4,1886,4,4,1911,4,4,2040,5,5,2107,5,5,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,2322.0,1.0,Kt. Nidwalden,2.0, ,-99.0,5,2.0,5
1507,4431,5,5,4700,5,5,4835,5,5,5321,6,6,5445,6,6,5680,6,6,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,6022.0,1.0,Kt. Nidwalden,2.0, ,5.0,5,1.0,2
1508,2601,5,5,2800,5,5,2926,5,5,2939,5,5,3123,5,5,3135,5,5,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,3093.0,1.0,Kt. Nidwalden,0.0, ,99.0,1,2.0,1
1509,6217,6,6,6412,6,6,6697,6,6,7391,6,6,7789,6,6,8329,6,6,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,8119.0,1.0,Kt. Nidwalden,2.0, ,3.0,1,1.0,1
1510,3785,5,5,4100,5,5, , , ,4503,5,5,4518,5,5,4424,5,5,7,7,7,7,7,7,1,1, ,1,1,1,700.0,7.0,4850.0,1.0,Kt. Nidwalden,0.0,5,-99.0,1,1.0,1
1511,1686,4,4,1800,4,4,2029,5,5,2015,5,5,2024,5,5,2136,5,5,7,7,7,7,7,7,1,1,1,1,1,1,700.0,7.0,2105.0,1.0,Kt. Nidwalden,0.0, ,-99.0,1,2.0,2
1601,149,1,1,173,1,1,175,1,1,184,1,1,188,1,1, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1602,1916,4,4,2000,5,5,1868,4,4,1984,4,4,1988,4,4, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1603,478,2,2,496,2,2,453,2,2,362,2,2,328,2,2, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1604,284,2,2,317,2,2,277,2,2, , , , , , , , , ,8,8,8, , , ,1,1,1,1, , ,,,,,,, ,, ,, 
1605,791,3,3,850,3,3,828,3,3,721,3,3,698,3,3, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1606,695,3,3,750,3,3,713,3,3,665,3,3,635,3,3, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1607,2869,5,5, , , ,2879,5,5,2683,5,5,2604,5,5, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1608,471,2,2, , , , , , ,527,3,3,510,3,3, , , ,8,8,8,8,8, ,1,1, ,1,1, ,,,,,,, ,, ,, 
1609,5728,6,6,5700,6,6,5465,6,6,5731,6,6,5892,6,6, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1610,597,3,3,617,3,3,663,3,3,635,3,3,1021,4,4, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1611,393,2,2,396,2,2,359,2,2, , , , , , , , , ,8,8,8, , , ,1,1,1,1, , ,,,,,,, ,, ,, 
1612,171,1,1,171,1,1,198,1,1,174,1,1, , , , , , ,8,8,8,8, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1613,1370,4,4,1400,4,4,1365,4,4,1147,4,4,1041,4,4, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1614,647,3,3, , , ,620,3,3,1136,4,4,1132,4,4, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1615,406,2,2,437,2,2,425,2,2,386,2,2,377,2,2, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1616,1019,4,4,1100,4,4,1062,4,4,1053,4,4,1022,4,4, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1617,2978,5,5, , , , , , ,3047,5,5,3143,5,5, , , ,8,8,8,8,8, ,1,1, ,1,1, ,,,,,,, ,, ,, 
1618,475,2,2,485,2,2,491,2,2,454,2,2,440,2,2, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1619,3882,5,5,4000,5,5,3984,5,5,3920,5,5,3953,5,5, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1620,2898,5,5,2918,5,5,2832,5,5,2894,5,5,2858,5,5, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1621,279,2,2,283,2,2,283,2,2,256,2,2, , , , , , ,8,8,8,8, , ,1,1,1,1, , ,,,,,,, ,, ,, 
1622,3411,5,5,3573,5,5,3616,5,5,3774,5,5,3939,5,5, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1623,1790,4,4,1828,4,4,1860,4,4,1880,4,4,1932,4,4, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
1624,388,2,2,400,2,2,458,2,2,465,2,2,460,2,2, , , ,8,8,8,8,8, ,1,1,1,1,1, ,,,,,,, ,, ,, 
